Name	ch_type	x	y	z	ex	ey	ez
MRP35	grad	-0.0211	-0.0845	0.1121	-0.2412	-0.8068	0.5394
MRP41	grad	-0.0793	-0.0438	0.0927	-0.7988	-0.5184	0.3054
MRP42	grad	-0.0682	-0.0616	0.0933	-0.7571	-0.5256	0.3881
MRP43	grad	-0.0547	-0.0777	0.094	-0.7264	-0.6293	0.2762
MRP44	grad	-0.0345	-0.0892	0.0952	-0.3288	-0.8643	0.3807
MRP45	grad	-0.0136	-0.0953	0.0945	-0.1589	-0.9319	0.326
MRP51	grad	-0.0927	-0.0126	0.0781	-0.8947	-0.042	0.4448
MRP52	grad	-0.0883	-0.035	0.0742	-0.8898	-0.4012	0.2176
MRP53	grad	-0.0795	-0.0549	0.0746	-0.8529	-0.4566	0.253
MRP54	grad	-0.0667	-0.0731	0.0753	-0.703	-0.6793	0.2104
MRP55	grad	-0.0503	-0.0877	0.0742	-0.5938	-0.7908	0.1483
MRP56	grad	-0.0287	-0.0977	0.0755	-0.1739	-0.9588	0.2246
MRP57	grad	-0.0067	-0.1012	0.0748	-0.1393	-0.9713	0.1925
MRT11	grad	0.0757	-0.0944	0.049	0.3806	-0.9233	0.052
MRT12	grad	0.0561	-0.1012	0.0547	0.2655	-0.9631	0.0446
MRT13	grad	0.0351	-0.104	0.0604	0.025	-0.9993	0.0293
MRT14	grad	0.0035	-0.1053	0.0554	-0.0793	-0.9966	0.0228
MRT15	grad	-0.0192	-0.1057	0.056	-0.0987	-0.9935	0.0565
MRT16	grad	-0.0418	-0.0947	0.0556	-0.5677	-0.822	0.0459
MRT21	grad	0.0911	-0.0897	0.0339	0.3966	-0.9165	0.0531
MRT22	grad	0.0618	-0.1008	0.033	0.2988	-0.9532	0.0467
MRT23	grad	0.0406	-0.107	0.0396	0.0772	-0.9965	0.0325
MRT24	grad	0.0182	-0.1117	0.0392	-0.0446	-0.9987	0.0249
MRT25	grad	-0.0094	-0.1126	0.0375	-0.1313	-0.9912	0.0195
MRT26	grad	-0.0326	-0.1067	0.0371	-0.3011	-0.9536	0.0092
MRT27	grad	-0.0513	-0.0884	0.037	-0.5075	-0.8617	-0.003
MRT31	grad	0.0993	-0.0867	0.0144	0.4282	-0.902	0.0552
MRT32	grad	0.0771	-0.0962	0.019	0.3644	-0.9298	0.051
MRT33	grad	0.0466	-0.1069	0.019	0.1291	-0.991	0.0358
MRT34	grad	0.0242	-0.1127	0.0185	-0.0272	-0.9993	0.026
MRT35	grad	0.0019	-0.1131	0.0192	-0.0793	-0.9966	0.0228
MRT36	grad	-0.021	-0.1112	0.0187	-0.1989	-0.98	-0.0021
MRT37	grad	-0.0426	-0.097	0.0185	-0.398	-0.9173	-0.0141
MRT41	grad	0.0848	-0.0938	-0.0016	0.3806	-0.9233	0.052
MRT42	grad	0.062	-0.1017	0.004	0.2822	-0.9583	0.0456
MRT43	grad	0.0355	-0.1123	0.0002	0.025	-0.9993	0.0293
MRT44	grad	0.0132	-0.1131	-0.0002	-0.0446	-0.9987	0.0249
MRT45	grad	-0.0093	-0.1129	0.0004	-0.1485	-0.9887	0.0185
MRT46	grad	-0.0332	-0.1064	0	-0.3167	-0.9485	-0.0092
MRT47	grad	-0.0515	-0.0884	0	-0.5224	-0.8527	-0.0039
MRT51	grad	0.0695	-0.1003	-0.0166	0.3318	-0.9421	0.0489
MRT52	grad	0.048	-0.1095	-0.018	0.1118	-0.9931	0.0347
MRT53	grad	0.0247	-0.1134	-0.0195	-0.0272	-0.9993	0.026
MRT54	grad	0.0017	-0.1139	-0.0189	-0.0956	-0.9954	0.0043
MRT55	grad	-0.0217	-0.1107	-0.0184	-0.2339	-0.9722	0.0133
MRT56	grad	-0.0423	-0.0962	-0.0186	-0.4297	-0.9028	-0.0159
MRT57	grad	-0.0603	-0.0813	-0.0186	-0.6214	-0.783	-0.0271
MZC01	grad	0.0681	-0.0007	0.1413	0.2659	-0.0067	0.964
MZC02	grad	0.0314	-0.001	0.1495	0.1636	0.0005	0.9865
MZC03	grad	-0.0071	-0.0011	0.1521	-0.0476	-0.0166	0.9987
MZC04	grad	-0.0457	-0.0014	0.1402	-0.5235	-0.019	0.8518
MZF01	grad	0.1513	0	0.0494	0.9952	0.0126	0.0973
MZF02	grad	0.1424	-0.0001	0.0879	0.9093	0.0094	0.416
MZF03	grad	0.1067	-0.0004	0.1267	0.5362	-0.0024	0.8441
MZO01	grad	-0.0983	-0.0017	0.0598	-0.9487	-0.0114	0.316
MZO02	grad	-0.0997	-0.0017	0.0186	-0.9996	-0.0096	-0.0276
MZO03	grad	-0.0983	-0.0018	-0.0184	-0.9989	-0.0095	-0.045
MZP01	grad	-0.0851	-0.0016	0.0947	-0.8876	-0.0118	0.4605
BG1	ref	-0.0541	-0.0702	0.2384	-0.7126	0.7004	-0.0394
BG2	ref	-0.0541	-0.0702	0.2384	-0.6987	-0.7137	-0.0489
BG3	ref	-0.0541	-0.0702	0.2384	0.0624	0.0073	-0.998
BP1	ref	-0.0554	0.0644	0.2393	-0.7126	0.7004	-0.0394
BP2	ref	-0.0554	0.0644	0.2393	-0.6987	-0.7137	-0.0489
BP3	ref	-0.0554	0.0644	0.2393	0.0624	0.0073	-0.998
BR1	ref	0.0789	0.0656	0.2477	-0.7126	0.7004	-0.0394
BR2	ref	0.0789	0.0656	0.2477	-0.6987	-0.7137	-0.0489
BR3	ref	0.0789	0.0656	0.2477	0.0624	0.0073	-0.998
G11	ref	-0.026	-0.0978	0.24	-0.7126	0.7004	-0.0394
G12	ref	-0.0541	-0.0703	0.2384	-0.6987	-0.7137	-0.0489
G13	ref	-0.0541	-0.0703	0.2384	0.0624	0.0073	-0.998
G22	ref	-0.0267	-0.0422	0.2403	-0.6987	-0.7137	-0.0489
G23	ref	-0.0541	-0.0703	0.2384	0.0624	0.0073	-0.998
P11	ref	-0.0274	0.0369	0.2408	-0.7126	0.7004	-0.0394
P12	ref	-0.0555	0.0644	0.2393	-0.6987	-0.7137	-0.0489
P13	ref	-0.0555	0.0644	0.2393	0.0624	0.0073	-0.998
P22	ref	-0.0279	0.0925	0.2412	-0.6987	-0.7137	-0.0489
P23	ref	-0.0554	0.0644	0.2393	0.0624	0.0073	-0.998
Q11	ref	0.1086	-0.0969	0.2484	-0.7126	0.7004	-0.0394
Q12	ref	0.0806	-0.0693	0.2468	-0.6987	-0.7137	-0.0489
Q13	ref	0.0806	-0.0693	0.2468	0.0624	0.0073	-0.998
Q22	ref	0.1078	-0.0409	0.2487	-0.6987	-0.7137	-0.0489
Q23	ref	0.0803	-0.0689	0.2468	0.0624	0.0073	-0.998
R11	ref	0.107	0.038	0.2493	-0.7126	0.7004	-0.0394
R12	ref	0.079	0.0656	0.2477	-0.6987	-0.7137	-0.0489
R13	ref	0.079	0.0656	0.2477	0.0624	0.0073	-0.998
R22	ref	0.1067	0.094	0.2497	-0.6987	-0.7137	-0.0489
R23	ref	0.0792	0.066	0.2477	0.0624	0.0073	-0.998
