Name	x	y	z	ex	ey	ez
MEG1311	0.0995	0.0564	0.082	0.9246	0.1848	0.3331
MEG1323	0.1081	0.046	0.0495	0.9888	0.1385	0.0553
MEG1322	0.1081	0.046	0.0495	0.9888	0.1385	0.0553
MEG1321	0.1081	0.046	0.0495	0.9888	0.1385	0.0553
MEG1333	0.1091	0.0119	0.0512	0.997	-0.0502	0.0585
MEG1332	0.1091	0.0119	0.0512	0.997	-0.0502	0.0585
MEG1331	0.1091	0.0119	0.0512	0.997	-0.0502	0.0585
MEG1342	0.1017	0.0204	0.0849	0.9365	-0.0116	0.3505
MEG1343	0.1017	0.0204	0.0849	0.9365	-0.0116	0.3505
MEG1341	0.1017	0.0204	0.0849	0.9365	-0.0116	0.3505
MEG1412	0.1027	0.073	0.0129	0.9585	0.2838	-0.0287
MEG1413	0.1027	0.073	0.0129	0.9585	0.2838	-0.0287
MEG1411	0.1027	0.073	0.0129	0.9585	0.2838	-0.0287
MEG1423	0.1073	0.0539	-0.0196	0.9836	0.1802	0.007
MEG1422	0.1073	0.0539	-0.0196	0.9836	0.1802	0.007
MEG1421	0.1073	0.0539	-0.0196	0.9836	0.1802	0.007
MEG1433	0.1107	0.02	-0.0188	0.9996	0.0121	0.0246
MEG1432	0.1107	0.02	-0.0188	0.9996	0.0121	0.0246
MEG1431	0.1107	0.02	-0.0188	0.9996	0.0121	0.0246
MEG1442	0.1091	0.0401	0.0156	0.9944	0.1046	-0.0176
MEG1443	0.1091	0.0401	0.0156	0.9944	0.1046	-0.0176
MEG1441	0.1091	0.0401	0.0156	0.9944	0.1046	-0.0176
MEG1512	-0.1085	0.0062	0.016	-0.9955	-0.0927	-0.0168
MEG1513	-0.1085	0.0062	0.016	-0.9955	-0.0927	-0.0168
MEG1511	-0.1085	0.0062	0.016	-0.9955	-0.0927	-0.0168
MEG1522	-0.1013	-0.0265	0.0192	-0.9353	-0.3539	-0.0009
MEG1523	-0.1013	-0.0265	0.0192	-0.9353	-0.3539	-0.0009
MEG1521	-0.1013	-0.0265	0.0192	-0.9353	-0.3539	-0.0009
MEG1533	-0.0946	-0.0459	-0.0134	-0.8902	-0.4519	0.0574
MEG1532	-0.0946	-0.0459	-0.0134	-0.8902	-0.4519	0.0574
MEG1531	-0.0946	-0.0459	-0.0134	-0.8902	-0.4519	0.0574
MEG1543	-0.1064	-0.014	-0.0164	-0.9807	-0.1919	0.0369
MEG1542	-0.1064	-0.014	-0.0164	-0.9807	-0.1919	0.0369
MEG1541	-0.1064	-0.014	-0.0164	-0.9807	-0.1919	0.0369
