name,"CAD X+ (INCH)","CAD Y+ (INCH)","CAD Z+ (INCH)","CAD X- (INCH)","CAD Y- (INCH)","CAD Z- (INCH)"
"Derived from '90-0395 Channel Map for 6th cooldown  2-01-13.xls'",,,,,,
MEG_013,-0.51257,2.67525,3.24478,-1.11147,4.13933,6.322010000000001
MEG_024,0.92333,4.17235,1.20548,2.00217,7.38566,1.89996
REF_020,,,,,,
MEG_068,2.43321,2.88136,1.4593099999999999,5.27622,4.58626,2.45038
MEG_026,1.02514,3.32279,2.63742,2.22293,5.54346,5.00502
MEG_038,1.37821,4.03301,0.3876599999999999,2.98972,7.09471,0.3625
MEG_040,1.59926,3.67934,1.6678899999999999,3.46787,6.31662,2.90266
MEG_054,2.06278,3.53364,0.8475,4.47296,6.00069,1.12372
MEG_056,1.84667,3.00588,2.29955,4.00435,4.85628,4.27238
MEG_058,2.00892,1.56358,2.88668,4.25593,2.49543,5.34722
MEG_042,1.59926,2.33243,2.9312199999999997,3.46787,3.39595,5.64209
MEG_028,0.90968,1.7238,3.47337,1.93358,2.72985,6.621560000000001
MEG_070,2.43321,2.17533,2.12153,5.27622,3.05529,3.88634
REF_021,,,,,,
MEG_072,2.38955,0.86972,2.76491,4.94504,1.79985,4.90406
MEG_044,1.61144,0.93037,3.41137,3.33479,1.92534,6.24186
MEG_084,2.78632,1.40783,1.8483900000000002,5.89386,2.21359,3.13893
MEG_046,1.61144,-0.93037,3.41137,3.33479,-1.92534,6.24186
MEG_098,2.96476,0.52277,1.9496699999999998,6.13541,1.08184,3.2169600000000003
MEG_060,1.8607,0,3.41137,3.85068,0,6.24186
MEG_100,2.96476,-0.52277,1.9496699999999998,6.13541,-1.08184,3.2169600000000003
MEG_074,2.38955,-0.86972,2.76491,4.94504,-1.79985,4.90406
MEG_086,2.5429,0,2.76491,5.2624,0,4.90406
MEG_062,1.94798,-1.63455,2.76491,4.03123,-3.38261,4.90406
MEG_112,3.22769,0.00807,0.9850699999999999,6.5452,0.04494,1.96707
MEG_016,0.50538,-0.87535,3.83752,0.89368,-1.5479,7.209239999999999
MEG_031,-1.01076,0,3.83752,-1.78736,0,7.209239999999999
MEG_015,-0.50538,0.87535,3.83752,-0.89368,1.5479,7.209239999999999
MEG_001,0,0,4,0,0,7.46
MEG_002,0,1.80611,3.59215,0,2.82922,6.89743
MEG_017,-0.50538,-0.87535,3.83752,-0.89368,-1.5479,7.209239999999999
MEG_014,0.50538,0.87535,3.83752,0.89368,1.5479,7.209239999999999
MEG_030,1.01076,0,3.83752,1.78736,0,7.209239999999999
MEG_050,1.61362,-2.78506,1.09071,3.27214,-5.61905,2.1812899999999997
MEG_064,1.93511,-2.30617,1.9496699999999998,4.00461,-4.7725,3.2169600000000003
MEG_076,2.47238,-2.0651,1.0634800000000002,5.01358,-4.1591,2.12607
MEG_078,2.50107,-2.16367,-0.6382000000000003,5.0982,-4.31565,0.1334900000000001
MEG_066,2.08904,-2.51166,0.22889999999999988,4.26844,-5.08104,1.0163799999999998
MEG_036,1.11155,-3.07561,0.2502300000000002,2.27119,-6.23333,1.0599599999999998
MEG_052,1.62888,-2.89137,-0.6106800000000003,3.32391,-5.79963,0.18962000000000012
MEG_092,2.8532,-1.73435,-1.50591,5.7542,-3.37531,-0.5769099999999998
